source_ip,destination_ip,protocol,port,domain,risk
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2a02:6b8::184,TCP,443,,low
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2a00:1148:db00::17,TCP,443,,low
2a00:1148:db00::17,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58843,,unknown
2a02:6b8::184,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58646,,unknown
2003:8:10:2:0:a10:985f:325a,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58846,,unknown
2a02:6b8::1:119,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57344,,unknown
2607:f8b0:4007:818::2001,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,59175,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:1406:4c00:186::24e8,TCP,443,,low
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2a02:6b8::90,TCP,443,,low
2607:f8b0:4007:803::2002,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,60003,,unknown
2a02:6b8:a::a,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,53837,,unknown
2600:1406:4c00:186::24e8,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58849,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:814::200e,UDP,443,,low
2607:f8b0:4007:814::200e,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,52809,,unknown
2a02:6b8::90,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,53854,,unknown
2a02:6b8::1be,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58851,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:810::200a,TCP,443,,low
2607:f8b0:4007:810::200a,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58497,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:9000:249b:5000:19:b765:7880:93a1,TCP,443,,low
2600:9000:249b:5000:19:b765:7880:93a1,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57753,,unknown
2602:803:c001::200:144,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58737,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2602:803:c001::200:144,TCP,443,,low
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:809::2003,TCP,443,,low
2607:f8b0:4007:809::2003,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58500,,unknown
2a00:1148:db00::17,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58853,,unknown
2a00:1148:db00::17,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58854,,unknown
2a02:6b8:a::a,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58496,,unknown
2a02:6b8:a::a,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58495,,unknown
2600:1406:4c00:194::11a6,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,52109,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:1406:4c00:194::11a6,UDP,443,,low
2607:f8b0:4007:815::2002,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,58024,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2a02:6b8::91,TCP,443,,low
2600:1406:4c00:1a9::24e8,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,53895,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4023:c03::bc,TCP,5228,,unknown
2a02:6b8::91,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57747,,unknown
2607:f8b0:4023:c03::bc,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,53820,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:815::200e,UDP,443,,low
2607:f8b0:4007:815::200e,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,50137,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2001:4860:4802:32::181,UDP,443,,low
2001:4860:4802:32::181,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,65454,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:9000:280a:5e00:1d:a46f:e440:93a1,UDP,443,,low
2600:9000:280a:5e00:1d:a46f:e440:93a1,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,58855,,unknown
2a02:6b8::1:119,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58515,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2a02:6b8::158,TCP,443,,low
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:813::200a,TCP,443,,low
2607:f8b0:4007:813::200a,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57762,,unknown
2a02:6b8:a::a,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58865,,unknown
2a02:6b8::158,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58866,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2a02:6b8::402,TCP,443,,low
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:9000:2864:f400:8:48e:53c0:93a1,TCP,443,,low
2600:9000:2864:f400:8:48e:53c0:93a1,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58872,,unknown
2a02:6b8::402,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57322,,unknown
2607:f8b0:4007:814::200e,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,61913,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:1406:5e00:2a8::24e8,TCP,443,,low
2600:1406:5e00:2a8::24e8,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,54116,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2001:4998:28:800::4001,TCP,443,,low
2001:4998:28:800::4001,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58875,,unknown
2607:f8b0:4007:814::200e,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,64658,,unknown
2001:1998:f00:2::1,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,57229,main.vscode-cdn.net,unknown
2001:1998:f00:2::1,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,50348,main.vscode-cdn.net,unknown
2001:1998:f00:2::1,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,52157,main.vscode-cdn.net,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2620:1ec:bdf::71,TCP,443,,low
2620:1ec:bdf::71,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58876,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2620:116:800c:140:37c0:e034:d7da:a98d,TCP,443,,low
2620:116:800c:140:37c0:e034:d7da:a98d,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58877,,unknown
2409:8c04:1001:105f:0:ff:b0c6:1e1b,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58643,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2409:8c04:1001:105f:0:ff:b0c6:1e1b,TCP,443,,low
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2a03:2880:f10d:83:face:b00c:0:25de,UDP,443,,low
2a03:2880:f10d:83:face:b00c:0:25de,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,50154,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:1406:bc00:e85::2c79,TCP,443,,low
2600:1406:bc00:e85::2c79,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57803,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:819::2003,UDP,443,,low
2607:f8b0:4007:819::2003,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,55335,,unknown
2607:f8b0:4007:815::2002,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,50300,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2602:803:c001::200:196,TCP,443,,low
2602:803:c001::200:196,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58883,,unknown
2602:803:c001::200:196,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58884,,unknown
2607:f8b0:4007:818::2002,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,62183,,unknown
2602:803:c001::200:196,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58888,,unknown
2607:f8b0:4007:818::2001,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,58304,,unknown
2a02:6b8::1:119,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57656,,unknown
2607:f8b0:4007:815::2002,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,49677,,unknown
2600:1406:4c00:194::11a6,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58689,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:809::200a,UDP,443,,low
2607:f8b0:4007:809::200a,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,51041,,unknown
2a02:6b8::1:119,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57335,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:1406:5800::17db:2622,TCP,443,,low
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:1406:4e00:8::17dc:4bc5,TCP,443,,low
2600:1406:4e00:8::17dc:4bc5,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58581,,unknown
2a04:4e42:87::300,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57830,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:9000:24da:6400:1:aa11:940:93a1,TCP,443,,low
2600:9000:24da:6400:1:aa11:940:93a1,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58590,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:814::2002,UDP,443,,low
2607:f8b0:4007:814::2002,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,49264,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2a02:6b8::428,TCP,443,,low
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:9000:2364:7a00:12:44e4:45c0:93a1,TCP,443,,low
2600:9000:2364:7a00:12:44e4:45c0:93a1,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58596,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2001:4860:4802:32::3,UDP,443,,low
2a02:6b8::428,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58608,,unknown
2001:4860:4802:32::3,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,63326,,unknown
2607:f8b0:4007:803::2002,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,54702,,unknown
